customer_lifespan_days
219
24
15
120
127
63
0
83
22
84
2
160
9
0
231
0
119
0
144
5
43
265
17
0
237
33
11
186
102
262
0
0
1
395
41
105
254
92
0
192
59
282
109
0
347
0
0
127
0
16
0
181
229
100
213
9
307
0
1
148
228
339
283
0
0
0
46
0
201
134
0
9
172
0
0
122
5
281
6
0
282
21
109
0
80
170
384
1
2
6
36
0
0
0
139
0
20
206
76
298
0
0
326
0
61
0
63
0
57
0
0
175
69
103
262
11
0
151
20
0
280
0
0
0
246
0
14
0
25
337
0
46
96
0
167
4
113
0
196
200
94
231
0
0
0
172
66
0
0
130
0
15
20
0
0
159
297
145
13
163
0
343
0
0
105
67
2
149
0
0
22
14
100
1
141
11
247
20
72
227
204
0
306
76
0
0
5
247
0
117
0
17
0
2
0
0
236
0
295
50
13
0
145
65
103
92
366
93
8
191
183
6
0
0
0
0
0
0
296
0
0
74
159
21
231
147
65
36
0
0
11
0
9
0
71
235
0
0
166
0
0
0
0
6
0
3
54
90
5
1
108
61
0
47
73
0
159
44
0
26
0
0
16
360
111
59
0
57
242
10
44
0
85
0
266
218
332
20
168
310
0
0
0
173
56
121
16
96
200
28
7
199
8
34
143
35
148
0
0
53
11
0
0
0
0
211
65
492
93
0
75
345
34
113
49
379
233
69
34
55
195
171
229
1
0
99
126
125
0
141
53
82
41
184
18
23
47
46
165
0
179
0
17
0
6
2
0
24
4
44
0
216
0
58
383
61
0
55
52
127
4
0
105
0
34
0
164
28
141
120
0
307
143
3
0
313
62
338
299
343
0
146
104
0
421
0
0
22
0
0
48
1
2
522
119
1
315
118
303
53
1
28
0
27
0
90
175
0
0
0
35
8
49
216
123
60
0
186
105
347
218
62
0
52
130
69
8
79
0
53
175
434
0
16
0
91
98
147
14
31
102
21
235
396
0
59
0
12
18
1
2
337
172
0
67
56
275
135
453
2
307
48
41
324
0
84
123
0
198
230
0
375
333
288
89
252
51
0
41
0
242
53
0
23
312
231
34
457
28
0
0
68
10
19
0
0
0
0
213
0
64
157
245
0
0
20
19
7
59
140
7
51
162
58
96
76
5
93
11
169
34
0
240
351
71
0
100
0
6
10
12
23
438
245
145
270
4
197
8
296
30
0
0
265
0
148
57
0
156
10
180
365
17
53
11
12
57
77
275
46
0
14
190
80
40
6
149
34
36
6
345
207
69
186
45
0
134
297
215
198
303
9
120
270
300
0
1
409
33
116
120
0
209
0
0
583
0
77
0
208
44
483
0
270
113
28
1
0
48
301
21
34
8
363
18
259
0
0
47
14
15
0
8
63
161
0
114
68
5
148
164
0
105
4
127
8
162
91
20
167
184
97
97
0
2
26
14
9
18
33
0
145
59
0
0
0
147
295
39
166
207
0
394
31
0
0
95
142
21
8
0
0
0
0
201
0
0
0
106
230
36
98
40
206
163
180
12
0
31
0
187
26
145
204
50
0
0
0
14
0
15
343
11
11
482
188
289
318
63
350
0
134
581
152
12
213
11
